Est-a-Tet – Вторичная недвижимость,real_estate_agent,Москва,sale,flat,16,5,111.9,23000000.0,Южное Бутово,Скобелевская ,23,Улица Скобелевская,
Sminex,developer,Москва,sale,flat,22,5,226.4,242770000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,41,5,165.0,215000000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
ID 51317713,unknown,Москва,sale,flat,28,5,126.0,75000000.0,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
Донстрой,developer,Москва,sale,flat,13,5,151.3,91581890.0,Хорошево-Мневники,Жилой комплекс остров,4-й кв-л,Терехово ,Остров
Kalinka Group,real_estate_agent,Москва,sale,flat,7,5,247.7,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,
Светлана Иванова,realtor,Москва,sale,flat,12,5,99.4,21000000.0,Марьино, Перерва,4,Перерва,
Tekta Group,developer,Москва,sale,flat,27,5,138.7,73885490.0,Даниловский,,1,Крестьянская застава,Эра ЖК
NIKA ESTATE,real_estate_agent,Москва,sale,flat,24,5,415.0,150000000.0,Щукино, Маршала Бирюзова,32К1,Октябрьское поле,Две башни
Ольга Леонтьева,realtor,Москва,sale,flat,17,5,135.0,34880000.0,Тропарево-Никулино,Никулинская ,15К2,Озёрная,
Донстрой,developer,Москва,sale,flat,19,5,160.1,100606840.0,Хорошево-Мневники, Нижние Мневники,,Терехово ,Остров
Центрис,real_estate_agent,Москва,sale,flat,11,5,320.0,534765000.0,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
NBRealty,real_estate_agent,Москва,sale,flat,9,5,206.0,260000000.0,Хамовники,7-й Ростовский переулок,15,Киевская,
Донстрой,developer,Москва,sale,flat,19,5,224.4,308774400.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
Whitewill,real_estate_agent,Москва,sale,flat,8,5,340.0,490000000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
Октава-Недвижимость,real_estate_agent,Москва,sale,flat,9,5,110.0,41300000.0,Красносельский,Садовая-Спасская ,19/1,Красные ворота,
Донстрой,developer,Москва,sale,flat,24,5,182.1,322134900.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
NIKA ESTATE,real_estate_agent,Москва,sale,flat,7,5,271.7,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
